GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,I25E001,NAME_M,I25M001
"G83548","2010","US",,,,,,,,,,,,,,,"Spartanburg, SC Urbanized Area","83548",,,,,,,"40000US83548","Spartanburg, SC Urbanized Area",38907,"Spartanburg, SC Urbanized Area",2530
"G83764","2010","US",,,,,,,,,,,,,,,"Spokane, WA--ID Urbanized Area","83764",,,,,,,"40000US83764","Spokane, WA--ID Urbanized Area",44185,"Spokane, WA--ID Urbanized Area",1513
"G83899","2010","US",,,,,,,,,,,,,,,"Springfield, IL Urbanized Area","83899",,,,,,,"40000US83899","Springfield, IL Urbanized Area",47070,"Springfield, IL Urbanized Area",3594
"G83926","2010","US",,,,,,,,,,,,,,,"Springfield, MA--CT Urbanized Area","83926",,,,,,,"40000US83926","Springfield, MA--CT Urbanized Area",48616,"Springfield, MA--CT Urbanized Area",2029
"G83953","2010","US",,,,,,,,,,,,,,,"Springfield, MO Urbanized Area","83953",,,,,,,"40000US83953","Springfield, MO Urbanized Area",34734,"Springfield, MO Urbanized Area",2072
"G83980","2010","US",,,,,,,,,,,,,,,"Springfield, OH Urbanized Area","83980",,,,,,,"40000US83980","Springfield, OH Urbanized Area",35114,"Springfield, OH Urbanized Area",2497
"G84493","2010","US",,,,,,,,,,,,,,,"State College, PA Urbanized Area","84493",,,,,,,"40000US84493","State College, PA Urbanized Area",41058,"State College, PA Urbanized Area",3673
"G85087","2010","US",,,,,,,,,,,,,,,"Stockton, CA Urbanized Area","85087",,,,,,,"40000US85087","Stockton, CA Urbanized Area",43483,"Stockton, CA Urbanized Area",3127
"G86302","2010","US",,,,,,,,,,,,,,,"Syracuse, NY Urbanized Area","86302",,,,,,,"40000US86302","Syracuse, NY Urbanized Area",48296,"Syracuse, NY Urbanized Area",2088
"G86464","2010","US",,,,,,,,,,,,,,,"Tallahassee, FL Urbanized Area","86464",,,,,,,"40000US86464","Tallahassee, FL Urbanized Area",39028,"Tallahassee, FL Urbanized Area",3101
